Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita,PC1,PC2,Cluster,Cluster_Agg
1996,0,6,109,2815,15000,5.3,1313,0.47,499.0,0.2,17028,5.6,117.0,860,0.3,15285.0,5.4,56300.0,20.0,52915,18.8,10073.0,30996.0,44290.0,15.7,-2.0523696027754945,0.061706564780718516,0,0
1996,1,4,158,17825,91756,5.1,6952,0.39,5771.5,0.5,71301,3.5,153.0,4525,0.3,63685.0,3.6,320679.0,17.99,323503,18.15,45874.0,201621.0,270658.0,15.2,-1.0360555941870102,-0.21501569503081128,0,0
1996,3,7,131,3969,8665,2.2,1360,0.34,207.0,0.1,34574,8.6,22.0,780,0.2,23818.0,6.0,111699.0,28.14,106713,26.89,11508.0,62295.0,82769.0,20.9,-1.9990519002108411,-0.10957374365803155,0,0
1996,4,1,19,14143,162893,11.5,8808,0.62,15283.0,1.1,226137,11.9,345.0,9501,0.7,74903.0,5.3,685678.0,48.48,602831,42.62,92711.0,340400.0,516583.0,36.5,-0.11827913970205209,-0.20686782564809486,0,0
1996,5,4,129,5351,7000,1.3,1379,0.26,400.0,0.1,8880,1.7,22.0,223,0.0,10042.0,1.9,40806.0,7.63,39256,7.34,4298.0,21585.0,39165.0,7.3,-2.1534589794914414,-0.049280521251527404,0,0
1996,9,1,52,16792,55000,4.6,8142,0.48,6081.0,0.4,217517,11.6,376.0,5135,0.4,92322.0,5.5,638641.0,38.03,643771,38.34,92877.0,320919.0,480642.0,28.6,-0.3790504479818798,-0.2662212797143444,0,0
1996,10,4,54,4845,19500,4.0,3100,0.64,696.0,0.1,40500,8.3,45.0,395,0.1,32178.0,6.6,46497.0,9.6,36483,7.53,9848.0,21720.0,39231.0,8.1,-1.9706442891296032,-0.14406927137888156,0,0
1996,11,0,74,17921,155316,8.7,12546,0.7,16796.0,0.9,136014,6.7,186.0,4706,0.3,83123.0,4.6,375789.0,20.97,371859,20.75,89167.0,229724.0,364548.0,20.3,-0.5435521791451486,-0.4728887253287008,0,0
1996,12,2,73,3324,17478,5.3,1952,0.59,5771.5,0.5,33532,9.9,37.0,670,0.2,22966.0,6.9,62571.0,18.82,56000,16.85,5551.0,37448.0,47980.0,14.4,-2.0328515547398855,-0.08750606016368791,0,0
1996,14,1,55,18546,55000,4.6,9156,0.49,15408.0,0.8,194144,8.4,418.0,9935,0.5,118282.0,6.4,708697.0,38.21,694710,37.46,88610.0,531196.0,678787.0,36.6,-0.028968783950576515,-0.05275574278972478,0,0
1996,15,6,93,4792,15600,3.3,3575,0.75,784.0,0.2,43919,8.1,141.0,1801,0.4,33141.0,6.9,147439.0,30.77,150757,31.46,24547.0,99110.0,150407.0,31.4,-1.7701813818567262,0.0002824223822089095,0,0
1996,16,4,53,28043,650000,23.2,23305,0.83,54000.0,1.9,154942,5.0,351.0,5967,0.2,91927.0,3.3,621874.0,22.18,443745,15.82,59977.0,381143.0,518961.0,18.5,0.9683537330546442,-0.8602118586181695,0,0
1996,17,4,53,13095,6000,0.2,2500,0.09,3000.0,0.1,41688,1.3,30.0,1800,0.1,31210.0,1.1,108198.0,3.86,88957,3.17,20000.0,58214.0,102664.0,3.7,-1.8081929874370983,-0.16435998712622582,0,0
1996,18,0,168,136817,278032,2.0,45448,0.33,164721.0,1.2,348993,2.4,392.0,7509,0.1,487537.0,3.6,3009981.0,22.0,2926824,21.39,388006.0,1877779.0,2673565.0,19.5,5.850540196111926,-2.9355170885444997,1,1
1996,19,2,21,1724,14127,8.2,841,0.49,5771.5,0.5,21751,12.0,78.0,4796,2.8,30897.0,17.9,80676.0,46.8,46500,26.97,13844.0,49708.0,69621.0,40.4,-1.909858482636083,0.12367774131879627,0,0
1996,20,1,136,59658,105925,1.8,19974,0.33,20828.0,0.3,311762,4.9,477.0,13389,0.2,139195.0,2.3,1202928.0,20.16,1090195,18.27,139156.0,756008.0,1039052.0,17.4,1.3809409803763497,-0.5167458301729471,0,0
1996,21,0,38,14691,113765,7.7,6818,0.46,14716.0,1.0,145604,9.2,177.0,5737,0.4,59060.0,4.0,360844.0,24.56,330750,22.51,69523.0,220873.0,335795.0,22.9,-0.8018447254859096,-0.29315288834582376,0,0
1996,22,7,149,6642,14040,2.1,2492,0.38,1500.0,0.2,27209,4.1,18.0,647,0.1,19047.0,2.9,74007.0,11.14,63685,9.59,16738.0,31033.0,62812.0,9.5,-2.005498707116493,-0.1294377235513976,0,0
1996,23,1,71,7656,28425,3.7,2691,0.35,960.0,0.1,45574,5.7,79.0,1561,0.2,28644.0,3.7,116564.0,15.23,111275,14.53,20149.0,75091.0,104875.0,13.7,-1.7948490601576852,-0.10327571371294653,0,0
1996,24,2,40,1272,14456,11.4,667,0.52,5771.5,0.5,15724,10.3,144.0,1757,1.4,25680.0,20.2,71512.0,56.22,25000,19.65,5912.0,26784.0,42505.0,33.4,-2.0224524044204446,0.12419873419124774,0,0
1996,25,7,152,4658,4420,0.9,1138,0.24,5771.5,0.5,11715,2.5,267.5,5135,0.4,12511.0,2.7,28563.0,6.13,26289,5.64,5456.0,13859.0,24029.0,5.2,-1.9340592631896043,0.4344261588211499,0,0
